20170427_17:42:34.638 [main] [   ] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
20170427_17:42:34.644 [main] [   ] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
20170427_17:42:34.645 [main] [   ] Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
20170427_17:42:34.646 [main] [   ] Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
20170427_17:42:34.647 [main] [   ] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2483f9de, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5489708c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@b3c22b0]
20170427_17:42:34.754 [main] [   ] Refreshing org.springframework.context.support.GenericApplicationContext@2823796f: startup date [Thu Apr 27 17:42:34 CST 2017]; root of context hierarchy
20170427_17:42:34.983 [Thread-0] [   ] Closing org.springframework.context.support.GenericApplicationContext@2823796f: startup date [Thu Apr 27 17:42:34 CST 2017]; root of context hierarchy
20170427_18:09:54.685 [main] [   ] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
20170427_18:09:54.691 [main] [   ] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
20170427_18:09:54.691 [main] [   ] Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
20170427_18:09:54.692 [main] [   ] Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
20170427_18:09:54.693 [main] [   ] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2483f9de, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5489708c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@b3c22b0]
20170427_18:09:54.803 [main] [   ] Refreshing org.springframework.context.support.GenericApplicationContext@2823796f: startup date [Thu Apr 27 18:09:54 CST 2017]; root of context hierarchy
20170427_18:09:55.045 [Thread-0] [   ] Closing org.springframework.context.support.GenericApplicationContext@2823796f: startup date [Thu Apr 27 18:09:54 CST 2017]; root of context hierarchy
20170427_18:15:47.594 [main] [   ] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
20170427_18:15:47.601 [main] [   ] Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
20170427_18:15:47.602 [main] [   ] Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
20170427_18:15:47.602 [main] [   ] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
20170427_18:15:47.602 [main] [   ] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1070ed00, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@65d7a36e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@302abefe]
20170427_18:15:47.712 [main] [   ] Refreshing org.springframework.context.support.GenericApplicationContext@1b451725: startup date [Thu Apr 27 18:15:47 CST 2017]; root of context hierarchy
20170427_18:15:47.951 [Thread-0] [   ] Closing org.springframework.context.support.GenericApplicationContext@1b451725: startup date [Thu Apr 27 18:15:47 CST 2017]; root of context hierarchy
